element,name,pos,round,total_points,roll_clean_sheets_p90,roll_yellow_cards_p90,roll_bps_p90,roll_creativity_p90,roll_threat_p90,roll_defensive_contribution_p90,roll_expected_goals_p90,roll_expected_assists_p90,roll_expected_goals_conceded_p90,roll_goal_overperf_p90,roll_assist_overperf_p90,roll_goal_conceded_overperf_p90,roll_minutes,roll_value,roll_transfers_balance,roll_selected,was_home,opponent_team
136,Thiago,FWD,32,13,0.33,0.17,15.0,14.63,30.67,7.67,0.59,0.13,1.08,-0.26,-0.13,0.25,90.0,71.33,90514.67,4386216.0,True,9
136,Thiago,FWD,33,2,0.33,0.17,22.67,14.85,29.83,7.83,0.7,0.1,1.24,-0.03,-0.1,0.26,90.0,71.83,102538.0,4507001.0,True,10
136,Thiago,FWD,34,1,0.5,0.17,23.0,13.97,30.0,8.5,0.68,0.03,1.18,-0.01,-0.03,-0.02,90.0,72.33,60932.0,4507818.5,False,14
136,Thiago,FWD,35,6,0.5,0.17,16.83,15.52,22.0,8.17,0.58,0.03,1.23,-0.08,-0.03,-0.23,90.0,72.83,39955.5,4557014.5,True,19
136,Thiago,FWD,36,2,0.5,0.17,18.5,13.18,28.5,7.5,0.77,0.02,1.07,-0.1,-0.03,-0.07,90.0,73.17,15505.67,4576139.33,False,13
136,Thiago,FWD,37,2,0.5,0.17,15.83,14.8,27.17,7.33,0.49,0.03,1.33,0.01,-0.03,-0.17,90.0,73.33,-68583.5,4504929.83,True,8
136,Thiago,FWD,38,2,0.33,0.17,13.83,12.18,28.33,6.0,0.5,0.03,1.53,-0.0,-0.03,-0.03,90.0,73.33,-91030.17,4382186.67,False,12
178,Welbeck,FWD,4,2,0.0,0.0,0.0,10.79,16.32,2.11,0.82,0.14,1.84,-0.82,-0.14,0.27,57.0,64.67,-67680.67,371735.67,False,4
178,Welbeck,FWD,5,1,0.0,0.0,2.66,8.89,14.81,3.04,0.63,0.11,1.78,-0.63,-0.11,0.5,59.25,64.25,-61399.25,341900.0,True,18
178,Welbeck,FWD,6,11,0.0,0.0,3.57,8.71,17.14,2.86,0.6,0.12,1.7,-0.6,-0.12,0.8,50.4,64.0,-52921.0,321430.0,False,7
178,Welbeck,FWD,7,1,0.0,0.33,19.31,8.02,33.38,3.27,0.8,0.11,1.7,-0.14,-0.11,0.59,45.83,63.83,-48942.67,303427.17,False,20
178,Welbeck,FWD,8,13,0.0,0.52,13.87,9.76,27.21,3.14,0.64,0.1,1.44,-0.12,-0.1,0.39,57.33,63.5,-38349.67,277170.0,True,15
178,Welbeck,FWD,9,6,0.0,0.52,34.37,17.58,27.55,3.94,0.38,0.09,1.39,0.67,-0.09,0.19,57.17,63.17,-23556.83,261219.83,False,14
178,Welbeck,FWD,10,6,0.0,0.48,37.88,18.72,31.61,3.62,0.4,0.05,1.19,0.8,-0.05,0.98,62.17,63.0,22461.33,292745.83,True,11
178,Welbeck,FWD,11,2,0.23,0.46,42.68,20.3,34.1,3.48,0.58,0.05,0.93,0.81,-0.05,0.7,64.67,63.17,102619.67,408997.33,False,8
178,Welbeck,FWD,12,8,0.39,0.39,36.63,17.67,27.96,4.14,0.48,0.04,0.89,0.7,-0.04,0.29,76.17,63.5,134670.83,551520.0,True,5
178,Welbeck,FWD,13,2,0.34,0.17,28.51,16.49,20.95,3.95,0.42,0.03,1.03,0.44,-0.03,0.17,87.33,63.83,152508.17,713130.83,False,16
178,Welbeck,FWD,14,1,0.54,0.0,32.17,15.54,23.67,4.88,0.46,0.03,1.07,0.45,-0.03,0.01,83.0,64.33,171522.67,892540.0,True,2
178,Welbeck,FWD,15,2,0.62,0.0,22.5,11.17,26.67,5.0,0.51,0.02,1.07,0.11,-0.02,0.18,72.0,64.83,170870.67,1070349.17,True,19
178,Welbeck,FWD,16,1,0.62,0.0,16.67,7.94,26.04,5.21,0.48,0.02,1.04,-0.07,-0.02,-0.42,72.0,65.33,146986.33,1229201.5,False,12
178,Welbeck,FWD,18,1,0.5,0.0,12.28,6.72,25.32,5.26,0.35,0.03,1.27,-0.1,-0.03,-0.51,59.83,65.5,22734.33,1246623.5,False,1
178,Welbeck,FWD,19,3,0.31,0.0,14.59,7.42,30.1,5.28,0.43,0.02,1.63,-0.12,-0.02,-0.7,48.33,65.33,-51798.33,1163008.67,False,19
178,Welbeck,FWD,20,1,0.32,0.32,7.66,10.47,28.09,5.43,0.72,0.03,1.68,-0.4,-0.03,-0.41,47.0,65.0,-72021.17,1063411.17,True,3
